performanceMetrics.js:126 ,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
performanceMetrics.js:132 ,Go,"Chromium",1441.20,61,32.62,32.62,10,16.69,6.40,32.60,15.75
performanceMetrics.js:132 ,Go,"Chromium",1441.20,59,58.91,59.90,610,17.09,6.50,48.10,20.33
performanceMetrics.js:132 ,Go,"Chromium",1441.20,60,59.90,59.90,610,16.68,13.70,20.80,19.60
performanceMetrics.js:132 ,Go,"Chromium",1441.20,60,59.90,59.90,1210,16.71,10.90,21.90,19.69
performanceMetrics.js:132 ,Go,"Chromium",1441.20,60,59.94,59.94,1810,16.76,14.60,21.20,20.55
performanceMetrics.js:132 ,Go,"Chromium",1441.20,52,57.91,59.91,2420,19.65,16.60,31.10,20.05
performanceMetrics.js:132 ,Go,"Chromium",1441.20,47,46.53,60.39,2420,21.33,20.70,21.80,20.28
performanceMetrics.js:132 ,Go,"Chromium",1441.20,47,46.77,59.70,2420,21.34,20.80,22.30,20.53
performanceMetrics.js:132 ,Go,"Chromium",1441.20,47,46.76,59.69,2420,21.43,20.80,24.10,20.74
performanceMetrics.js:132 ,Go,"Chromium",1441.20,47,46.78,59.73,2420,21.35,20.90,22.10,20.25
performanceMetrics.js:132 ,Go,"Chromium",1441.20,47,46.92,60.89,2420,21.46,20.80,22.40,20.46
performanceMetrics.js:132 ,Go,"Chromium",1441.20,46,45.99,59.98,2420,21.89,21.20,28.70,20.73
performanceMetrics.js:132 ,Go,"Chromium",1441.20,42,46.16,59.90,2420,23.83,20.90,33.90,20.25
performanceMetrics.js:132 ,Go,"Chromium",1441.20,24,29.95,56.16,2420,42.96,25.00,89.60,21.81
performanceMetrics.js:132 ,Go,"Chromium",1441.20,30,24.90,55.78,2420,34.27,29.60,50.00,21.96
performanceMetrics.js:132 ,Go,"Chromium",1441.20,33,32.25,59.62,2420,30.75,29.80,35.20,22.12
performanceMetrics.js:132 ,Go,"Chromium",1441.20,29,28.97,59.95,2420,35.12,30.10,74.50,21.29
performanceMetrics.js:132 ,Go,"Chromium",1441.20,32,31.44,59.93,2420,31.39,30.10,37.30,21.44
performanceMetrics.js:132 ,Go,"Chromium",1441.20,32,32.43,59.95,2420,31.29,29.90,36.70,21.59
performanceMetrics.js:132 ,Go,"Chromium",1441.20,33,31.88,60.77,2420,31.16,29.60,34.20,21.74
